SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,WECT,,Western Chat-Tanager,Calyptophilus tertius,CALTER,,TRUE
,EACT,,Eastern Chat-Tanager,Calyptophilus frugivorus,CALFRU,,TRUE
,BPLT,*,Black-crowned Palm-Tanager,Phaenicophilus palmarum,PHAPAL,,TRUE
,GCPT,,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,PHAPOL,,TRUE
,WWWA,,White-winged Warbler,Xenoligea montana,XENMON,,TRUE
,GTWA,,Green-tailed Warbler,Microligea palustris,MICPAL,,TRUE
,PRTA,,Puerto Rican Tanager,Nesospingus speculiferus,NESSPE,,TRUE
,WESP,,Western Spindalis,Spindalis zena,SPIZEN,,TRUE
,JAMS,*,Jamaican Spindalis,Spindalis nigricephala,SPINIG,,TRUE
,HISP,,Hispaniolan Spindalis,Spindalis dominicensis,SPDDOM,*,TRUE
,PRSP,,Puerto Rican Spindalis,Spindalis portoricensis,SPIPOR,,TRUE
,WRET,*,Wrenthrush,Zeledonia coronata,ZELCOR,,TRUE
,YHWA,,Yellow-headed Warbler,Teretistris fernandinae,TERFER,,TRUE
,ORWA,,Oriente Warbler,Teretistris fornsi,TERFOR,,TRUE
,YBCH,,Yellow-breasted Chat,Icteria virens,ICTVIR,,TRUE
,YHBL,,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,XANXAN,,TRUE
,BOBO,,Bobolink,Dolichonyx oryzivorus,DOLORY,,TRUE
,EAME,,Eastern Meadowlark,Sturnella magna,STUMAG,,TRUE
,WEME,,Western Meadowlark,Sturnella neglecta,STUNEG,,TRUE
,RBRM,*,Red-breasted Meadowlark,Leistes militaris,LEIMIL,,TRUE
,YBIC,*,Yellow-billed Cacique,Amblycercus holosericeus,AMBHOL,,TRUE
,YWCA,,Yellow-winged Cacique,Cassiculus melanicterus,CASMEL,,TRUE
,CROR,,Crested Oropendola,Psarocolius decumanus,PSADEC,,TRUE
,CHOR,,Chestnut-headed Oropendola,Psarocolius wagleri,PSAWAG,,TRUE
,MORO,*,Montezuma Oropendola,Psarocolius montezuma,PSAMON,,TRUE
,BLOR,,Black Oropendola,Psarocolius guatimozinus,PSAGUA,,TRUE
,SRCA,,Scarlet-rumped Cacique,Cacicus uropygialis,CACURO,,TRUE
,YRCA,,Yellow-rumped Cacique,Cacicus cela,CACCEL,,TRUE
,BAHO,*,Bahama Oriole,Icterus northropi,ICTNOR,,TRUE
,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL,,TRUE
,HIOR,,Hispaniolan Oriole,Icterus dominicensis,ICTDOM,,TRUE
,PROR,,Puerto Rican Oriole,Icterus portoricensis,ICTPOR,,TRUE
,SLOR,,St. Lucia Oriole,Icterus laudabilis,ICTLAU,,TRUE
,MORI,*,Montserrat Oriole,Icterus oberi,ICTOBE,,TRUE
,MAOR,,Martinique Oriole,Icterus bonana,ICTBON,,TRUE
,BVOR,,Black-vented Oriole,Icterus wagleri,ICTWAG,,TRUE
,BWOR,,Bar-winged Oriole,Icterus maculialatus,ICTMAC,,TRUE
,BCOR,,Black-cowled Oriole,Icterus prosthemelas,ICTPRO,,TRUE
,OROR,,Orchard Oriole,Icterus spurius,ICTSPU,,TRUE
,HOOR,,Hooded Oriole,Icterus cucullatus,ICTCUC,,TRUE
,YBOR,,Yellow-backed Oriole,Icterus chrysater,ICTCHR,,TRUE
,OCOR,,Orange-crowned Oriole,Icterus auricapillus,ICTAUC,*,TRUE
,YTOR,,Yellow-tailed Oriole,Icterus mesomelas,ICTMES,,TRUE
,VETR,,Venezuelan Troupial,Icterus icterus,ICTICT,,TRUE
,SBAO,*,Streak-backed Oriole,Icterus pustulatus,ICTPUS,,TRUE
,BUOR,,Bullock's Oriole,Icterus bullockii,ICTBUL,,TRUE
+,BBOH,,Bullock's x Baltimore Oriole Hybrid,Icterus bullockii x galbula,ICTBUG,,TRUE
,ORAO,*,Orange Oriole,Icterus auratus,ICTAUT,*,TRUE
,JAOR,,Jamaican Oriole,Icterus leucopteryx,ICTLEU,,TRUE
,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,,TRUE
,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,,TRUE
,AUOR,,Audubon's Oriole,Icterus graduacauda,ICTGRA,,TRUE
,BAOR,,Baltimore Oriole,Icterus galbula,ICTGAL,,TRUE
,BBOR,,Black-backed Oriole,Icterus abeillei,ICTABE,,TRUE
,SCOR,,Scott's Oriole,Icterus parisorum,ICTPAR,,TRUE
,JABL,,Jamaican Blackbird,Nesopsar nigerrimus,NESNIG,,TRUE
,RWBL,,Red-winged Blackbird,Agelaius phoeniceus,AGEPHO,,TRUE
,RSBL,,Red-shouldered Blackbird,Agelaius assimilis,AGEASS,,TRUE
,TRBL,,Tricolored Blackbird,Agelaius tricolor,AGETRI,,TRUE
,TSBL,,Tawny-shouldered Blackbird,Agelaius humeralis,AGEHUM,,TRUE
,YSBL,,Yellow-shouldered Blackbird,Agelaius xanthomus,AGEXAN,,TRUE
,SHCO,,Shiny Cowbird,Molothrus bonariensis,MOLBON,,TRUE
,BROC,*,Bronzed Cowbird,Molothrus aeneus,MOLAEN,,TRUE
,BHCO,,Brown-headed Cowbird,Molothrus ater,MOLATE,,TRUE
,GICO,,Giant Cowbird,Molothrus oryzivorus,MOLORY,,TRUE
,MEBL,,Melodious Blackbird,Dives dives,DIVDIV,,TRUE
,CUBL,,Cuban Blackbird,Ptiloxena atroviolacea,PTIATR,,TRUE
,RUBL,,Rusty Blackbird,Euphagus carolinus,EUPCAR,,TRUE
,BRBL,,Brewer's Blackbird,Euphagus cyanocephalus,EUPCYC,*,TRUE
